,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
0,2.57e-07,1.57e-06,6.23e-06,0.001001258258258142,0.0010025725725726353,6.230000000106983e-06,0.0,0.0,0.0
1,2.01e-06,3.92e-06,1.69e-05,0.0010030130130129766,0.001004924924924877,1.6900000000097393e-05,0.0,0.0,0.0
2,4.47e-06,8.33e-06,3.58e-05,0.0010054754754753592,0.0010093393393393324,3.580000000003025e-05,0.0,0.0,0.0
3,7.61e-06,1.33e-05,5.76e-05,0.001008618618618451,0.001014314314314202,5.7600000000102014e-05,0.0,0.0,0.0
4,1.06e-05,1.31e-05,5.86e-05,0.0010116116116116736,0.0010141141141142285,5.860000000001975e-05,0.0,0.0,0.0
5,5.18e-06,-5.72e-06,-1.95e-05,0.0010061861861863086,0.0009952752752753202,-1.9499999999950113e-05,0.0,0.0,0.0
6,-2.24e-05,-6.59e-05,-0.000276,0.0009785785785785261,0.0009350350350350034,-0.000276000000000054,0.0,0.0,0.0
7,-8.91e-05,-0.000199,-0.000846,0.0009118118118118801,0.0008018018018018935,-0.0008460000000000134,0.0,0.0,0.0
8,-0.000222,-0.000442,-0.00189,0.0007787787787787437,0.0005585585585585751,-0.0018899999999999473,0.0,0.0,0.0
9,-0.000445,-0.000829,-0.00356,0.0005555555555554204,0.00017117117117115832,-0.0035600000000000076,0.0,0.0,0.0
10,-0.000777,-0.00138,-0.00595,0.00022322322322310129,-0.00038038038038046285,-0.005950000000000011,0.0,0.0,0.0
11,-0.00123,-0.00211,-0.00907,-0.0002302302302301662,-0.0011111111111110628,-0.009070000000000022,0.0,0.0,0.0
12,-0.00178,-0.00298,-0.0128,-0.0007807807807808098,-0.0019819819819819617,-0.012800000000000034,0.0,0.0,0.0
13,-0.00242,-0.00395,-0.0169,-0.0014214214214214316,-0.0029529529529529475,-0.016900000000000026,0.0,0.0,0.0
14,-0.0031,-0.00493,-0.0211,-0.0021021021021020436,-0.003933933933933931,-0.021100000000000008,0.0,0.0,0.0
15,-0.00378,-0.00587,-0.0251,-0.0027827827827827667,-0.004874874874874924,-0.02510000000000001,0.0,0.0,0.0
16,-0.00441,-0.00668,-0.0285,-0.003413413413413391,-0.005685685685685726,-0.02849999999999997,0.0,0.0,0.0
17,-0.00496,-0.00733,-0.0311,-0.0039639639639639235,-0.006336336336336235,-0.031100000000000017,0.0,0.0,0.0
18,-0.00541,-0.00778,-0.033,-0.00441441441441448,-0.0067867867867867915,-0.03300000000000003,0.0,0.0,0.0
19,-0.00574,-0.00805,-0.034,-0.004744744744744733,-0.007057057057057059,-0.03400000000000003,0.0,0.0,0.0
20,-0.00595,-0.00815,-0.0344,-0.004954954954955015,-0.007157157157157146,-0.034399999999999986,0.0,0.0,0.0
21,-0.00605,-0.00814,-0.0342,-0.005055055055055102,-0.007147147147147148,-0.03420000000000001,0.0,0.0,0.0
22,-0.00603,-0.00806,-0.0337,-0.005035035035034996,-0.0070670670670670566,-0.03369999999999995,0.0,0.0,0.0
23,-0.00592,-0.00792,-0.033,-0.004924924924924912,-0.0069269269269269795,-0.03300000000000003,0.0,0.0,0.0
24,-0.0057,-0.00777,-0.0321,-0.004704704704704743,-0.006776776776776794,-0.03210000000000002,0.0,0.0,0.0
25,-0.0054,-0.00761,-0.0312,-0.004404404404404372,-0.006616616616616611,-0.031200000000000006,0.0,0.0,0.0
26,-0.00504,-0.00744,-0.0302,-0.004044044044044126,-0.00644644644644643,-0.030200000000000005,0.0,0.0,0.0
27,-0.00465,-0.00727,-0.0293,-0.0036536536536536657,-0.006276276276276249,-0.029299999999999993,0.0,0.0,0.0
28,-0.00428,-0.00711,-0.0284,-0.0032832832832832004,-0.006116116116116066,-0.02839999999999998,0.0,0.0,0.0
29,-0.00396,-0.00695,-0.0276,-0.002962962962962945,-0.005955955955955994,-0.027599999999999958,0.0,0.0,0.0
30,-0.00375,-0.0068,-0.0269,-0.002752752752752774,-0.005805805805805808,-0.026900000000000035,0.0,0.0,0.0
31,-0.00366,-0.00668,-0.0264,-0.002662662662662685,-0.005685685685685726,-0.02639999999999998,0.0,0.0,0.0
32,-0.00371,-0.00657,-0.0259,-0.0027127127127126727,-0.005575575575575531,-0.025900000000000034,0.0,0.0,0.0
33,-0.00389,-0.00648,-0.0255,-0.002892892892892851,-0.005485485485485553,-0.025499999999999967,0.0,0.0,0.0
34,-0.00416,-0.00642,-0.0253,-0.0031631631631632295,-0.005425425425425456,-0.02529999999999999,0.0,0.0,0.0
35,-0.00451,-0.00636,-0.0251,-0.0035135135135134776,-0.00536536536536536,-0.02510000000000001,0.0,0.0,0.0
36,-0.00488,-0.00631,-0.0249,-0.003883883883883832,-0.005315315315315372,-0.024900000000000033,0.0,0.0,0.0
37,-0.00525,-0.00624,-0.0247,-0.004254254254254186,-0.005245245245245278,-0.024699999999999944,0.0,0.0,0.0
38,-0.00557,-0.00616,-0.0245,-0.0045745745745745525,-0.005165165165165186,-0.024499999999999966,0.0,0.0,0.0
39,-0.00583,-0.00606,-0.0242,-0.0048348348348348225,-0.005065065065064989,-0.0242,0.0,0.0,0.0
40,-0.006,-0.00594,-0.0238,-0.005005005005005003,-0.004944944944944907,-0.023800000000000043,0.0,0.0,0.0
41,-0.00607,-0.00579,-0.0234,-0.005075075075075097,-0.004794794794794721,-0.023399999999999976,0.0,0.0,0.0
42,-0.00604,-0.00562,-0.0228,-0.0050450450450451045,-0.00462462462462454,-0.022800000000000042,0.0,0.0,0.0
43,-0.00591,-0.00543,-0.0222,-0.004914914914914914,-0.0044344344344344755,-0.022199999999999998,0.0,0.0,0.0
44,-0.00572,-0.00523,-0.0216,-0.004724724724724627,-0.004234234234234191,-0.021599999999999953,0.0,0.0,0.0
45,-0.00547,-0.00503,-0.0209,-0.004474474474474466,-0.0040340340340340175,-0.02090000000000003,0.0,0.0,0.0
46,-0.0052,-0.00484,-0.0202,-0.004204204204204198,-0.0038438438438438416,-0.020199999999999996,0.0,0.0,0.0
47,-0.00492,-0.00467,-0.0196,-0.003923923923923933,-0.003673673673673661,-0.01959999999999995,0.0,0.0,0.0
48,-0.00466,-0.00452,-0.019,-0.0036636636636636633,-0.003523523523523475,-0.019000000000000017,0.0,0.0,0.0
49,-0.00442,-0.00439,-0.0184,-0.0034234234234233885,-0.0033933933933933957,-0.018399999999999972,0.0,0.0,0.0
50,-0.0042,-0.0043,-0.0179,-0.00320320320320322,-0.0033033033033033066,-0.017900000000000027,0.0,0.0,0.0
51,-0.00401,-0.00422,-0.0174,-0.003013013013012933,-0.003223223223223215,-0.01739999999999997,0.0,0.0,0.0
52,-0.00386,-0.00417,-0.0169,-0.0028628628628628583,-0.003173173173173227,-0.016900000000000026,0.0,0.0,0.0
53,-0.00378,-0.00412,-0.0166,-0.0027827827827827667,-0.0031231231231231282,-0.016599999999999948,0.0,0.0,0.0
54,-0.00378,-0.00409,-0.0163,-0.0027827827827827667,-0.0030930930930931355,-0.01629999999999998,0.0,0.0,0.0
55,-0.00388,-0.00405,-0.0162,-0.0028828828828828534,-0.003053053053053034,-0.016199999999999992,0.0,0.0,0.0
56,-0.00408,-0.00401,-0.0161,-0.003083083083083027,-0.003013013013012933,-0.016100000000000003,0.0,0.0,0.0
57,-0.00437,-0.00396,-0.0161,-0.0033733733733734006,-0.002962962962962945,-0.016100000000000003,0.0,0.0,0.0
58,-0.00471,-0.00391,-0.0162,-0.003713713713713651,-0.002912912912912846,-0.016199999999999992,0.0,0.0,0.0
59,-0.00505,-0.00384,-0.0163,-0.004054054054054013,-0.002842842842842752,-0.01629999999999998,0.0,0.0,0.0
60,-0.00532,-0.00377,-0.0163,-0.00432432432432428,-0.002772772772772769,-0.01629999999999998,0.0,0.0,0.0
61,-0.0055,-0.00368,-0.0162,-0.0045045045045044585,-0.00268268268268268,-0.016199999999999992,0.0,0.0,0.0
62,-0.00554,-0.00357,-0.016,-0.00454454454454456,-0.0025725725725724846,-0.016000000000000014,0.0,0.0,0.0
63,-0.00545,-0.00346,-0.0157,-0.00445445445445436,-0.0024624624624625113,-0.015700000000000047,0.0,0.0,0.0
64,-0.00523,-0.00333,-0.0152,-0.004234234234234191,-0.002332332332332432,-0.015199999999999991,0.0,0.0,0.0
65,-0.00492,-0.0032,-0.0147,-0.003923923923923933,-0.0022022022022021304,-0.014700000000000046,0.0,0.0,0.0
66,-0.00456,-0.00307,-0.014,-0.0035635635635635765,-0.002072072072072051,-0.014000000000000012,0.0,0.0,0.0
67,-0.0042,-0.00295,-0.0134,-0.00320320320320322,-0.001951951951951969,-0.013399999999999967,0.0,0.0,0.0
68,-0.00389,-0.00283,-0.0128,-0.002892892892892851,-0.0018318318318317761,-0.012800000000000034,0.0,0.0,0.0
69,-0.00366,-0.00273,-0.0123,-0.002662662662662685,-0.0017317317317316894,-0.012299999999999978,0.0,0.0,0.0
70,-0.00355,-0.00264,-0.0119,-0.0025525525525526005,-0.0016416416416416002,-0.011900000000000022,0.0,0.0,0.0
71,-0.00356,-0.00255,-0.0116,-0.002562562562562598,-0.001551551551551622,-0.011600000000000055,0.0,0.0,0.0
72,-0.00368,-0.00246,-0.0114,-0.00268268268268268,-0.0014614614614615329,-0.011399999999999966,0.0,0.0,0.0
73,-0.0039,-0.00236,-0.0113,-0.0029029029029029596,-0.0013613613613613351,-0.011299999999999977,0.0,0.0,0.0
74,-0.00417,-0.00225,-0.0113,-0.003173173173173227,-0.0012512512512512508,-0.011299999999999977,0.0,0.0,0.0
75,-0.00446,-0.00213,-0.0113,-0.0034634634634634898,-0.001131131131131058,-0.011299999999999977,0.0,0.0,0.0
76,-0.00473,-0.00199,-0.0113,-0.0037337337337337573,-0.0009909909909910919,-0.011299999999999977,0.0,0.0,0.0
77,-0.00497,-0.00184,-0.0114,-0.003973973973974032,-0.0008408408408407952,-0.011399999999999966,0.0,0.0,0.0
78,-0.00516,-0.00169,-0.0113,-0.004164164164164208,-0.0006906906906906096,-0.011299999999999977,0.0,0.0,0.0
79,-0.00529,-0.00153,-0.0113,-0.0042942942942942874,-0.0005305305305305374,-0.011299999999999977,0.0,0.0,0.0
80,-0.00539,-0.00138,-0.0112,-0.004394394394394374,-0.00038038038038046285,-0.011199999999999988,0.0,0.0,0.0
81,-0.00545,-0.00123,-0.011,-0.00445445445445436,-0.0002302302302301662,-0.01100000000000001,0.0,0.0,0.0
82,-0.00548,-0.00109,-0.0108,-0.004484484484484574,-9.009009009008917e-05,-0.010800000000000032,0.0,0.0,0.0
83,-0.00548,-0.00094,-0.0105,-0.004484484484484574,6.006006005998543e-05,-0.010499999999999954,0.0,0.0,0.0
84,-0.00546,-0.000786,-0.0102,-0.004464464464464468,0.0002142142142143033,-0.010199999999999987,0.0,0.0,0.0
85,-0.00542,-0.000623,-0.00983,-0.004424424424424367,0.00037737737737741917,-0.009830000000000005,0.0,0.0,0.0
86,-0.00535,-0.000452,-0.0094,-0.004354354354354273,0.0005485485485485775,-0.009399999999999964,0.0,0.0,0.0
